xtf_id,Numero,Nom,Abreviation,RespDonneesAbreviation,NumeroET,AbreviationET,TypePointExploitation,MoyenTransport,Altitude,NumeroCommune,NomCommune,DebutValidite,FinValidite,DateTraitement,Etat,rArretSuperieur,y_Coord_Est,x_Coord_Nord
ch14uvag00039933,8577045,"Barbengo, Baldoria",,,7,PAG,Arret,Bus,283,5192,Lugano,20000616,,20191209,20191215,,715071,91137
ch14uvag00064716,8502246,Zug Landsgemeindeplatz (See),,,607,SGZ,Arret,Bateau,432,1711,Zug,19930523,,20191209,20191215,,681489,224610
ch14uvag00055329,8587376,"Oberwil b. Zug,Klinik Zugersee",,,185,ZVB,Arret,Bus,479,1711,Zug,19940529,,20191209,20191215,,681509,221880
ch14uvag00065097,8591161,"Zürich, Glaubtenstrasse Süd",,,346,VBZ,Arret,Bus,466,261,Zürich,20080425,,20191209,20191215,,681509,251988
ch14uvag00044607,8506852,"Dussnang, Rehaklinik",,,334,BOS,Arret,Bus,589,4726,Fischingen,19930201,,20191209,20191215,,715097,254346
ch14uvag00060253,8577887,"St. Silvester, Ebnet",,,251,TPF,Arret,Bus,824,2303,St. Silvester,19930201,,20191209,20191215,,582958,176975
ch14uvag00062408,8501789,"Verbier, fromagerie",,,7,PAG,Arret,Bus,1403,6031,Bagnes,19930201,,20191209,20191215,,582963,104830
ch14uvag00052684,8594278,"Magglingen/Macolin, Kapellenweg",,,804,FCA,Arret,Bus,894,372,Evilard,20100617,,20191209,20191215,,582973,221126
ch14uvag00062648,8580115,"Vico Morcote, Via Piana",,,7,PAG,Arret,Bus,363,5233,Vico Morcote,19930523,,20191209,20191215,,715099,87421
ch14uvag00053798,8575253,"Morcote, Casa per Anziani",,,7,PAG,Arret,Bus,287,5203,Morcote,19930201,,20191209,20191215,,715104,87257
ch14uvag00062645,8580238,"Vico Morcote, Chiesa",,,7,PAG,Arret,Bus,420,5233,Vico Morcote,19930523,,20191209,20191215,,715116,87629
ch14uvag00049017,8583557,"Hörhausen, Käsereistrasse",,,7,PAG,Arret,Bus,542,4816,Homburg,20130806,,20191209,20191215,,715124,276832
ch14uvag00044606,8578607,"Dussnang, Frohsinn",,,334,BOS,Arret,Bus,595,4726,Fischingen,19930201,,20191209,20191215,,715135,253937
ch14uvag00166247,8595974,"Scairolo, Posteggio Nucleo",,,522,TPL,Arret,Bus,301,5236,Collina d'Oro,20160809,,20191209,20191215,,715193,92863
ch14uvag00063132,8502258,Walchwil (See),,,607,SGZ,Arret,Bateau,417,1710,Walchwil,19890101,,20191209,20191215,,681519,217077
ch14uvag00045920,8578608,"Fischingen, Scheidweg",,,334,BOS,Arret,Bus,600,4726,Fischingen,19930201,,20191209,20191215,,715194,253709
ch14uvag00053405,8575757,"Mezzovico, Stazione",,,7,PAG,Arret,Bus,416,5199,Mezzovico-Vira,19930201,,20191209,20191215,,715203,105911
ch14uvag00047489,8575266,"Grancia, Paese",,,7,PAG,Arret,Bus,301,5186,Grancia,19930201,,20191209,20191215,,715223,91797
ch14uvag00045466,8578621,"Eschlikon TG, Mitteldorf",,,334,BOS,Arret,Bus,567,4724,Eschlikon,19930201,,20191209,20191215,,715224,258094
ch14uvag00038476,8505257,Acquarossa-Comprovasco,,,117,ABl,Arret,Bus,538,5048,Acquarossa,19930201,,20191209,20191215,,715225,145971
ch14uvag00056231,8578850,Ponte Semina,,,117,ABl,Arret,Bus,1192,5049,Blenio,19930201,,20191209,20191215,,715064,156838
ch14uvag00064731,8588622,"Zug, Dammstrasse/Bahnhof",ZGDA,ZVB,185,ZVB,Arret,Bus,420,1711,Zug,20040311,,20191209,20191215,,681519,225340
ch14uvag00041658,8594212,"Breganzona, Biogno",,,522,TPL,Arret,Bus,430,5192,Lugano,20100408,,20191209,20191215,,715249,95601
ch14uvag00047292,8503999,"Goldingen, Egligen",,,182,VZO,Arret,Bus,735,3342,Eschenbach (SG),19930201,,20191209,20191215,,715111,235902
ch14uvag00046936,8575278,"Gentilino, S. Abbondio",,,7,PAG,Arret,Bus,404,5236,Collina d'Oro,19930201,,20191209,20191215,,715280,94101
